Date,Service_Provider
7/1/16 9:38,Uber
7/1/16 9:39,Uber
7/1/16 9:39,Uber
7/1/16 9:40,Uber
7/1/16 9:40,Uber
7/1/16 9:41,Uber
7/1/16 9:41,Uber
7/1/16 9:42,Uber
7/1/16 9:42,Uber
7/1/16 9:42,Uber
7/1/16 9:45,Uber
7/1/16 9:45,Uber
7/1/16 9:45,Uber
7/1/16 9:45,Uber
7/1/16 9:46,Uber
7/1/16 9:46,Lyft
7/1/16 9:46,Uber
7/1/16 9:46,Uber
7/1/16 9:48,Uber
7/1/16 9:49,Uber
7/1/16 9:50,Uber
7/1/16 9:51,Uber
7/1/16 9:51,Uber
7/1/16 9:52,Uber
7/1/16 9:52,Uber
7/1/16 9:53,Uber
7/1/16 9:53,Uber
7/1/16 9:54,Uber
7/1/16 9:54,Lyft
7/1/16 9:55,Uber
7/1/16 9:56,Uber
7/1/16 9:56,Uber
7/1/16 9:56,Uber
7/1/16 9:57,Uber
7/1/16 9:58,Uber
7/1/16 9:58,Lyft
7/1/16 10:00,Uber
7/1/16 10:03,Uber
7/1/16 10:03,Uber
7/1/16 10:03,Uber
7/1/16 10:03,Uber
7/1/16 10:03,Uber
7/1/16 10:05,Uber
7/1/16 10:06,Uber
7/1/16 10:06,Uber
7/1/16 10:07,Uber
7/1/16 10:07,Uber
7/1/16 10:07,Uber
7/1/16 10:08,Uber
7/1/16 10:09,Lyft
7/1/16 10:09,Uber
7/1/16 10:10,Uber
7/1/16 10:11,Uber
7/1/16 10:11,Uber
7/1/16 10:11,Uber
7/1/16 10:12,Uber
7/1/16 10:12,Lyft
7/1/16 10:13,Uber
7/1/16 10:14,Uber
7/1/16 10:15,Uber
7/1/16 10:15,Uber
7/1/16 10:16,Uber
7/1/16 10:16,Lyft
7/1/16 10:17,Uber
7/1/16 10:18,Uber
7/1/16 10:19,Uber
7/1/16 10:20,Uber
7/1/16 10:20,Uber
7/1/16 10:21,Uber
7/1/16 10:22,Uber
7/1/16 10:22,Lyft
7/1/16 10:22,Lyft
7/1/16 10:23,Lyft
7/1/16 10:24,Uber
7/1/16 10:24,Uber
7/1/16 10:25,Uber
7/1/16 10:26,Uber
7/1/16 10:27,Uber
7/1/16 10:28,Uber
7/1/16 10:30,Uber
7/1/16 10:32,Uber
7/1/16 10:35,Lyft
7/1/16 10:36,Uber
7/1/16 10:39,Uber
7/1/16 10:39,Uber
7/1/16 10:40,Uber
7/1/16 10:43,Uber
7/1/16 10:43,Lyft
7/1/16 10:45,Uber
7/1/16 10:46,Uber
7/1/16 10:50,Uber
7/1/16 10:51,Uber
7/1/16 10:52,Uber
7/1/16 10:54,Lyft
7/1/16 10:54,Uber
7/1/16 10:54,Uber
7/1/16 10:59,Lyft
7/1/16 10:59,Uber
7/1/16 10:59,Lyft
7/1/16 11:00,Uber
7/1/16 11:00,Uber
7/1/16 11:03,Uber
7/1/16 11:04,Uber
7/1/16 11:05,Uber
7/1/16 11:05,Uber
7/1/16 11:05,Uber
7/1/16 11:05,Uber
7/1/16 11:07,Uber
7/1/16 11:08,Uber
7/1/16 11:08,Uber
7/1/16 11:09,Uber
7/1/16 11:10,Uber
7/1/16 11:10,Uber
7/1/16 11:10,Uber
7/1/16 11:10,Lyft
7/1/16 11:11,Uber
7/1/16 11:12,Uber
7/1/16 11:20,Uber
7/1/16 11:20,Lyft
7/1/16 11:22,Uber
7/1/16 11:24,Uber
7/1/16 11:24,Uber
7/1/16 11:27,Uber
7/1/16 11:27,Uber
7/1/16 11:28,Uber
7/1/16 11:28,Uber
7/1/16 11:28,Lyft
7/1/16 11:30,Uber
7/1/16 11:32,Uber
7/1/16 11:34,Uber
7/1/16 11:38,Uber
7/1/16 11:40,Uber
7/1/16 11:42,Uber
7/1/16 11:43,Uber
7/1/16 11:44,Uber
7/1/16 11:44,Uber
7/1/16 11:46,Uber
7/1/16 11:47,Uber
7/1/16 11:47,Uber
7/1/16 11:48,Lyft
7/1/16 11:48,Lyft
7/1/16 11:48,Uber
7/1/16 11:50,Uber
7/1/16 11:51,Uber
7/1/16 11:54,Uber
7/1/16 11:59,Uber
7/1/16 11:59,Lyft
7/1/16 12:00,Lyft
7/1/16 12:03,Uber
7/1/16 12:03,Uber
7/1/16 12:03,Uber
7/1/16 12:03,Uber
7/1/16 12:04,Uber
7/1/16 12:05,Uber
7/1/16 12:05,Uber
7/1/16 12:06,Uber
7/1/16 12:08,Uber
7/1/16 12:09,Lyft
7/1/16 12:11,Uber
7/1/16 12:12,Uber
7/1/16 12:13,Uber
7/1/16 12:13,Uber
7/1/16 12:14,Lyft
7/1/16 12:14,Uber
7/1/16 12:14,Uber
7/1/16 12:15,Lyft
7/1/16 12:16,Uber
7/1/16 12:16,Uber
7/1/16 12:16,Uber
7/1/16 12:21,Uber
7/1/16 12:24,Uber
7/1/16 12:25,Uber
7/1/16 12:26,Uber
7/1/16 12:26,Lyft
7/1/16 12:27,Uber
7/1/16 12:28,Lyft
7/1/16 12:28,Lyft
7/1/16 12:28,Uber
7/1/16 12:31,Uber
