Date,Service_Provider
12/1/16 9:11 AM,Lyft
12/1/16 9:12 AM,Uber
12/1/16 9:13 AM,Uber
12/1/16 9:13 AM,Uber
12/1/16 9:14 AM,Uber
12/1/16 9:14 AM,Lyft
12/1/16 9:14 AM,Lyft
12/1/16 9:15 AM,Uber
12/1/16 9:16 AM,Lyft
12/1/16 9:16 AM,Uber
12/1/16 9:17 AM,Uber
12/1/16 9:17 AM,Uber
12/1/16 9:18 AM,Uber
12/1/16 9:18 AM,Uber
12/1/16 9:19 AM,Uber
12/1/16 9:19 AM,Uber
12/1/16 9:19 AM,Lyft
12/1/16 9:19 AM,Uber
12/1/16 9:19 AM,Uber
12/1/16 9:19 AM,Lyft
12/1/16 9:20 AM,Uber
12/1/16 9:20 AM,Uber
12/1/16 9:20 AM,Lyft
12/1/16 9:21 AM,Uber
12/1/16 9:21 AM,Uber
12/1/16 9:21 AM,Uber
12/1/16 9:21 AM,Uber
12/1/16 9:22 AM,Uber
12/1/16 9:22 AM,Uber
12/1/16 9:22 AM,Uber
12/1/16 9:23 AM,Uber
12/1/16 9:23 AM,Lyft
12/1/16 9:23 AM,Uber
12/1/16 9:24 AM,Lyft
12/1/16 9:24 AM,Uber
12/1/16 9:25 AM,Uber
12/1/16 9:25 AM,Uber
12/1/16 9:25 AM,Uber
12/1/16 9:25 AM,Uber
12/1/16 9:26 AM,Uber
12/1/16 9:27 AM,Lyft
12/1/16 9:27 AM,Uber
12/1/16 9:27 AM,Lyft
12/1/16 9:27 AM,Lyft
12/1/16 9:27 AM,Uber
12/1/16 9:27 AM,Lyft
12/1/16 9:28 AM,Uber
12/1/16 9:28 AM,Lyft
12/1/16 9:28 AM,Uber
12/1/16 9:28 AM,Lyft
12/1/16 9:28 AM,Uber
12/1/16 9:29 AM,Uber
12/1/16 9:29 AM,Uber
12/1/16 9:29 AM,Lyft
12/1/16 9:30 AM,Uber
12/1/16 9:32 AM,Lyft
12/1/16 9:32 AM,Uber
12/1/16 9:32 AM,Uber
12/1/16 9:33 AM,Lyft
12/1/16 9:33 AM,Uber
12/1/16 9:33 AM,Uber
12/1/16 9:33 AM,Uber
12/1/16 9:34 AM,Uber
12/1/16 9:36 AM,Uber
12/1/16 9:36 AM,Uber
12/1/16 9:36 AM,Uber
12/1/16 9:38 AM,Uber
12/1/16 9:40 AM,Uber
12/1/16 9:42 AM,Uber
12/1/16 9:42 AM,Uber
12/1/16 9:43 AM,Uber
12/1/16 9:43 AM,Lyft
12/1/16 9:46 AM,Uber
12/1/16 9:46 AM,Uber
12/1/16 9:48 AM,Uber
12/1/16 9:52 AM,Uber
12/1/16 9:56 AM,Uber
12/1/16 9:58 AM,Uber
12/1/16 9:58 AM,Uber
12/1/16 9:59 AM,Uber
12/1/16 9:59 AM,Lyft
12/1/16 10:00 AM,Lyft
12/1/16 10:00 AM,Uber
12/1/16 10:01 AM,Uber
12/1/16 10:02 AM,Uber
12/1/16 10:03 AM,Uber
12/1/16 10:03 AM,Uber
12/1/16 10:03 AM,Lyft
12/1/16 10:04 AM,Uber
12/1/16 10:05 AM,Lyft
12/1/16 10:05 AM,Uber
12/1/16 10:05 AM,Uber
12/1/16 10:05 AM,Uber
12/1/16 10:06 AM,Lyft
12/1/16 10:06 AM,Uber
12/1/16 10:07 AM,Uber
12/1/16 10:08 AM,Uber
12/1/16 10:08 AM,Lyft
12/1/16 10:08 AM,Uber
12/1/16 10:08 AM,Uber
12/1/16 10:09 AM,Uber
12/1/16 10:10 AM,Lyft
12/1/16 10:12 AM,Lyft
12/1/16 10:13 AM,Lyft
12/1/16 10:13 AM,Uber
12/1/16 10:13 AM,Uber
12/1/16 10:13 AM,Uber
12/1/16 10:15 AM,Uber
12/1/16 10:15 AM,Uber
12/1/16 10:15 AM,Uber
12/1/16 10:15 AM,Uber
12/1/16 10:16 AM,Uber
12/1/16 10:17 AM,Uber
12/1/16 10:17 AM,Uber
12/1/16 10:18 AM,Uber
12/1/16 10:20 AM,Lyft
12/1/16 10:21 AM,Uber
12/1/16 10:22 AM,Uber
12/1/16 10:23 AM,Lyft
12/1/16 10:24 AM,Uber
12/1/16 10:24 AM,Lyft
12/1/16 10:24 AM,Uber
12/1/16 10:24 AM,Uber
12/1/16 10:25 AM,Uber
12/1/16 10:25 AM,Uber
12/1/16 10:25 AM,Lyft
12/1/16 10:25 AM,Lyft
